Date,BZ=F,EURUSD=X,GBPUSD=X,GC=F,HG=F,NG=F,SI=F,USDIDR=X,^GDAXI,^GSPC,^IXIC,^JKSE
2020-09-29,41.029998779296875,1.167883276939392,1.2873492240905762,1894.300048828125,2.9835000038146973,2.561000108718872,24.3799991607666,14893.599609375,12825.8203125,3335.469970703125,11085.25,4879.09814453125
2020-09-30,40.95000076293945,1.1742050647735596,1.2866535186767578,1887.5,3.0285000801086426,2.5269999504089355,23.433000564575195,14910.0,12760.73046875,3363.0,11167.509765625,4870.0390625
2020-10-01,40.93000030517578,1.1726078987121582,1.2917560338974,1908.4000244140625,2.8635001182556152,2.5269999504089355,24.19300079345703,14879.0,12730.76953125,3380.800048828125,11326.509765625,4970.09423828125
2020-10-02,39.27000045776367,1.1744946241378784,1.2886265516281128,1900.199951171875,2.9784998893737793,2.437999963760376,23.97100067138672,14817.55859375,12689.0400390625,3348.419921875,11075.01953125,4926.73388671875
2020-10-05,41.290000915527344,1.1720443964004517,1.2931090593338013,1912.5,2.9649999141693115,2.615000009536743,24.50200080871582,14853.0,12828.3095703125,3408.60009765625,11332.490234375,4958.76904296875
2020-10-06,42.650001525878906,1.1792453527450562,1.2992581129074097,1901.0999755859375,2.9655001163482666,2.5199999809265137,23.8700008392334,14780.1826171875,12906.01953125,3360.969970703125,11154.599609375,4999.22119140625
2020-10-07,41.9900016784668,1.1737639904022217,1.2883278131484985,1883.5999755859375,3.0344998836517334,2.6059999465942383,23.847999572753906,14773.0,12928.5703125,3419.43994140625,11364.599609375,5004.3271484375
2020-10-08,43.34000015258789,1.176747441291809,1.2917560338974,1888.5999755859375,3.0420000553131104,2.627000093460083,23.836999893188477,14715.5,13042.2099609375,3446.830078125,11420.98046875,5039.14208984375
2020-10-09,42.849998474121094,1.1767003536224365,1.29404616355896,1919.5,3.0794999599456787,2.740999937057495,25.069000244140625,14676.99609375,13051.23046875,3477.139892578125,11579.9404296875,5053.6630859375
2020-10-12,41.720001220703125,1.181683897972107,1.3031693696975708,1922.5,3.061000108718872,2.88100004196167,25.22599983215332,14693.0,13138.41015625,3534.219970703125,11876.259765625,5093.09912109375
2020-10-13,42.45000076293945,1.1816140413284302,1.3065747022628784,1888.5,3.0425000190734863,2.8550000190734863,24.086000442504883,14484.9921875,13018.990234375,3511.929931640625,11863.900390625,5132.57177734375
2020-10-14,43.31999969482422,1.1742188930511475,1.2935272455215454,1901.300048828125,3.047499895095825,2.635999917984009,24.36400032043457,14793.0,13028.0595703125,3488.669921875,11768.73046875,5176.09912109375
2020-10-15,43.15999984741211,1.1743981838226318,1.3012362718582153,1903.199951171875,3.0829999446868896,2.7750000953674316,24.19300079345703,14681.462890625,12703.75,3483.340087890625,11713.8701171875,5105.14990234375
